site_id,timestamp,block_no,physics_anchor_schedule_mw,schedule_mw,llm_reasoning,source_run_time,effective_from
BHUPALPALLY,2026-08-15 06:15:00,26,1.047,1.047,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:00:27,2026-08-15 06:45:27
BHUPALPALLY,2026-08-15 06:30:00,27,1.509,1.509,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:00:27,2026-08-15 06:45:27
BHUPALPALLY,2026-08-15 06:45:00,28,1.969,1.969,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:00:27,2026-08-15 06:45:27
BHUPALPALLY,2026-08-15 07:00:00,29,2.422,2.422,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:00:27,2026-08-15 06:45:27
BHUPALPALLY,2026-08-15 07:15:00,30,2.867,2.867,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:00:27,2026-08-15 06:45:27
BHUPALPALLY,2026-08-15 07:30:00,31,3.338,3.338,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 07:45:00,32,3.766,3.766,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 08:00:00,33,4.181,4.181,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 08:15:00,34,4.580,4.580,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 08:30:00,35,4.962,4.962,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 08:45:00,36,5.327,5.327,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 09:00:00,37,5.669,5.669,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 09:15:00,38,5.991,5.991,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 09:30:00,39,6.289,6.289,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 09:45:00,40,6.563,6.563,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 10:00:00,41,6.811,6.811,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 10:15:00,42,7.033,7.033,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 10:30:00,43,7.227,7.227,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 10:45:00,44,7.393,7.393,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 11:00:00,45,7.529,7.529,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 11:15:00,46,7.636,7.636,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 11:30:00,47,7.713,7.713,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 11:45:00,48,7.759,7.759,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 12:00:00,49,7.774,7.774,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 12:15:00,50,7.759,7.759,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 12:30:00,51,7.713,7.713,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 12:45:00,52,7.636,7.636,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 13:00:00,53,7.529,7.529,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 13:15:00,54,7.393,7.393,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 13:30:00,55,7.227,7.227,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 13:45:00,56,7.033,7.033,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 14:00:00,57,6.811,6.811,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 14:15:00,58,6.563,6.563,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 14:30:00,59,6.289,6.289,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 14:45:00,60,5.991,5.991,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 15:00:00,61,5.669,5.669,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 15:15:00,62,5.327,5.327,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 15:30:00,63,4.962,4.962,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 15:45:00,64,4.580,4.580,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 16:00:00,65,4.181,4.181,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 16:15:00,66,3.766,3.766,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 16:30:00,67,3.338,3.338,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 16:45:00,68,2.898,2.898,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 17:00:00,69,2.448,2.448,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 17:15:00,70,1.990,1.990,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 17:30:00,71,1.526,1.526,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 17:45:00,72,1.059,1.059,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 18:00:00,73,0.588,0.588,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 18:15:00,74,0.118,0.118,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 18:30:00,75,0.000,0.000,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 18:45:00,76,0.000,0.000,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
BHUPALPALLY,2026-08-15 19:00:00,77,0.000,0.000,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
