site_id,timestamp,block_no,physics_anchor_schedule_mw,schedule_mw,llm_reasoning,source_run_time,effective_from
KASIPET,2026-08-15 06:15:00,26,1.055,1.055,Clear sky conditions (0.84% cloud cover) support baseline clear-sky physics anchor.,2026-08-15 06:00:25,2026-08-15 06:45:25
KASIPET,2026-08-15 06:30:00,27,1.520,1.520,Clear sky conditions support physics anchor profile.,2026-08-15 06:00:25,2026-08-15 06:45:25
KASIPET,2026-08-15 06:45:00,28,1.982,1.982,Clear sky conditions support physics anchor profile.,2026-08-15 06:00:25,2026-08-15 06:45:25
KASIPET,2026-08-15 07:00:00,29,2.439,2.439,Negligible cloud cover and stationary atmosphere align with anchor.,2026-08-15 06:00:25,2026-08-15 06:45:25
KASIPET,2026-08-15 07:15:00,30,2.887,2.887,Clear sky conditions support physics anchor profile.,2026-08-15 06:00:25,2026-08-15 06:45:25
KASIPET,2026-08-15 07:30:00,31,3.327,3.327,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 07:45:00,32,3.753,3.753,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 08:00:00,33,4.166,4.166,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 08:15:00,34,4.564,4.564,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 08:30:00,35,4.945,4.945,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 08:45:00,36,5.308,5.308,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 09:00:00,37,5.649,5.649,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 09:15:00,38,5.970,5.970,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 09:30:00,39,6.267,6.267,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 09:45:00,40,6.540,6.540,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 10:00:00,41,6.787,6.787,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 10:15:00,42,7.008,7.008,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 10:30:00,43,7.201,7.201,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 10:45:00,44,7.366,7.366,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
KASIPET,2026-08-15 11:00:00,45,7.503,7.503,LLM adjustment unavailable for this block -- using physics anchor unchanged.,2026-08-15 06:45:00,2026-08-15 07:30:00
