Block,Time,Physics Anchor MW,Base Physics Anchor MW,Live Residual Factor,Regime,Fluctuation Flag,LLM MW,Validated MW,Confidence,Reasoning,Retrieved Cases Count,Top Retrieved Case,Context Summary,Live State Summary,Feature Snapshot
23,2026-08-15 05:30,0.0,0.0,0.751,weak cloudy,True,0.0,0.0,High,Zero irradiance at solar elevation below horizon.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=2.6367,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-07: MAE=0.4361 MW, RMSE=0.5772 MW, MAPE=41.85%, Bias=-0.088 MW (under-forecast). By time of day -- afternoon (14:00+): +0.079 MW; midday (10:00-14:00): -0.042 MW; morning (before 10:00): -0.429 MW. Worst block at 2026-08-07 14:15: predicted 2.71 MW vs actual 0.916 MW (error +1.794 MW).","Live same-day state up to 2026-08-14 18:30: latest=0.084 MW, recent_avg=0.408 MW, trend=falling, regime=weak cloudy, avg_step=0.096 MW, fluctuation_flag=True, live_residual_factor=0.751.",solar_elevation_deg=-0.93; motion_coverage_end_pct=1.17; motion_score=0.0003; motion_direction_deg=-1
24,2026-08-15 05:45,0.063,0.081,0.781,weak cloudy,True,0.048,0.048,Medium,Slight attenuation applied due to persistent weak cloudy morning regime.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=2.6367,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-07: MAE=0.4361 MW, RMSE=0.5772 MW, MAPE=41.85%, Bias=-0.088 MW (under-forecast). By time of day -- afternoon (14:00+): +0.079 MW; midday (10:00-14:00): -0.042 MW; morning (before 10:00): -0.429 MW. Worst block at 2026-08-07 14:15: predicted 2.71 MW vs actual 0.916 MW (error +1.794 MW).","Live same-day state up to 2026-08-14 18:30: latest=0.084 MW, recent_avg=0.408 MW, trend=falling, regime=weak cloudy, avg_step=0.096 MW, fluctuation_flag=True, live_residual_factor=0.751.",solar_elevation_deg=2.37; motion_coverage_end_pct=1.17; motion_score=0.0003; motion_direction_deg=-1
25,2026-08-15 06:00,0.158,0.195,0.811,weak cloudy,True,0.125,0.125,Medium,Scaled slightly lower reflecting morning cloud-attenuation baseline.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=2.6367,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-07: MAE=0.4361 MW, RMSE=0.5772 MW, MAPE=41.85%, Bias=-0.088 MW (under-forecast). By time of day -- afternoon (14:00+): +0.079 MW; midday (10:00-14:00): -0.042 MW; morning (before 10:00): -0.429 MW. Worst block at 2026-08-07 14:15: predicted 2.71 MW vs actual 0.916 MW (error +1.794 MW).","Live same-day state up to 2026-08-14 18:30: latest=0.084 MW, recent_avg=0.408 MW, trend=falling, regime=weak cloudy, avg_step=0.096 MW, fluctuation_flag=True, live_residual_factor=0.751.",solar_elevation_deg=5.68; motion_coverage_end_pct=1.17; motion_score=0.0003; motion_direction_deg=-1
26,2026-08-15 06:15,0.26,0.309,0.841,weak cloudy,True,0.208,0.208,Medium,Morning ramp attenuated consistent with recent morning ceiling ratios.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=2.6367,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-07: MAE=0.4361 MW, RMSE=0.5772 MW, MAPE=41.85%, Bias=-0.088 MW (under-forecast). By time of day -- afternoon (14:00+): +0.079 MW; midday (10:00-14:00): -0.042 MW; morning (before 10:00): -0.429 MW. Worst block at 2026-08-07 14:15: predicted 2.71 MW vs actual 0.916 MW (error +1.794 MW).","Live same-day state up to 2026-08-14 18:30: latest=0.084 MW, recent_avg=0.408 MW, trend=falling, regime=weak cloudy, avg_step=0.096 MW, fluctuation_flag=True, live_residual_factor=0.751.",solar_elevation_deg=9.02; motion_coverage_end_pct=1.17; motion_score=0.0003; motion_direction_deg=-1
27,2026-08-15 06:30,0.367,0.422,0.871,weak cloudy,True,0.298,0.298,Medium,Modest reduction consistent with weak cloudy regime factor.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=2.6367,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-07: MAE=0.4361 MW, RMSE=0.5772 MW, MAPE=41.85%, Bias=-0.088 MW (under-forecast). By time of day -- afternoon (14:00+): +0.079 MW; midday (10:00-14:00): -0.042 MW; morning (before 10:00): -0.429 MW. Worst block at 2026-08-07 14:15: predicted 2.71 MW vs actual 0.916 MW (error +1.794 MW).","Live same-day state up to 2026-08-14 18:30: latest=0.084 MW, recent_avg=0.408 MW, trend=falling, regime=weak cloudy, avg_step=0.096 MW, fluctuation_flag=True, live_residual_factor=0.751.",solar_elevation_deg=12.38; motion_coverage_end_pct=1.17; motion_score=0.0003; motion_direction_deg=-1
28,2026-08-15 06:45,0.482,0.535,0.9,weak cloudy,True,0.395,0.395,Medium,Gradual morning scaling aligned with live residual factor.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=2.6367,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-07: MAE=0.4361 MW, RMSE=0.5772 MW, MAPE=41.85%, Bias=-0.088 MW (under-forecast). By time of day -- afternoon (14:00+): +0.079 MW; midday (10:00-14:00): -0.042 MW; morning (before 10:00): -0.429 MW. Worst block at 2026-08-07 14:15: predicted 2.71 MW vs actual 0.916 MW (error +1.794 MW).","Live same-day state up to 2026-08-14 18:30: latest=0.084 MW, recent_avg=0.408 MW, trend=falling, regime=weak cloudy, avg_step=0.096 MW, fluctuation_flag=True, live_residual_factor=0.751.",solar_elevation_deg=15.75; motion_coverage_end_pct=1.17; motion_score=0.0003; motion_direction_deg=-1
29,2026-08-15 07:00,0.368,0.646,0.57,weak cloudy,False,0.368,0.368,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=19.13; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
30,2026-08-15 07:15,0.469,0.755,0.622,weak cloudy,False,0.469,0.469,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=22.52; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
31,2026-08-15 07:30,0.58,0.861,0.673,weak cloudy,False,0.58,0.58,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=25.92; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
32,2026-08-15 07:45,0.699,0.965,0.725,weak cloudy,False,0.699,0.699,Low,LLM adjustment unavailable for this block -- using physics anchor unchanged.,8,time=2026-08-13 16:00; predicted_mw=1.072; actual_mw=1.352; error_mw=-0.28; distance=3.6201,"Recent day-level forecast accuracy and patterns (last 3 day(s), oldest first): - 2026-08-12: MAE=1.252 MW, RMSE=1.4488 MW, MAPE=707.15%, Bias=+1.252 MW (over-forecast). By time of day -- afternoon (14:00+): +0.746 MW; midday (10:00-14:00): +2.061 MW. Worst block at 2026-08-12 12:00: predicted 2.329 MW vs actual 0.055651333333333344 MW (error +2.273 MW), conditions: video cloud coverage %=1.21, cloud motion direction (deg, -1=stationary)=-1, solar elevation (deg)=80.18.","Live same-day state up to 2026-08-15 07:00: latest=0.087 MW, recent_avg=0.027 MW, trend=rising, regime=weak cloudy, avg_step=0.017 MW, fluctuation_flag=False, live_residual_factor=0.570.",solar_elevation_deg=29.32; motion_coverage_end_pct=1.19; motion_score=0.0004; motion_direction_deg=-1
