block,start_time,end_time,POLYBOND,SNHEAT,INTEGRATED,DE_SOLAR,INDIQUBE,GAJLAXMI,CHAKUR_ONE_BLOCK_1,CHAKUR_ONE_BLOCK_2,OA_MSEDCL,total_ai_schedule_mw
1,00:00,00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
2,00:15,00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
3,00:30,00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
4,00:45,01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
5,01:00,01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
6,01:15,01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
7,01:30,01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
8,01:45,02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
9,02:00,02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
10,02:15,02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
11,02:30,02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
12,02:45,03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
13,03:00,03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
14,03:15,03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
15,03:30,03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
16,03:45,04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
17,04:00,04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
18,04:15,04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
19,04:30,04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
20,04:45,05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
21,05:00,05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
22,05:15,05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
23,05:30,05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
24,05:45,06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,06:00,06:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
26,06:15,06:30,0.06,0.03,0.01,0.05,0.08,0.03,0.01,0.03,0.33,0.33
27,06:30,06:45,0.24,0.13,0.05,0.16,0.28,0.12,0.07,0.13,1.22,1.22
28,06:45,07:00,0.36,0.21,0.09,0.25,0.45,0.19,0.16,0.3,2.03,2.03
29,07:00,07:15,0.63,0.39,0.15,0.42,0.66,0.32,0.26,0.49,3.35,3.35
30,07:15,07:30,0.86,0.59,0.22,0.59,1.0,0.45,0.38,0.71,4.83,4.83
31,07:30,07:45,1.09,0.8,0.27,0.78,1.18,0.54,0.5,0.93,6.12,6.12
32,07:45,08:00,1.31,1.0,0.33,0.94,1.42,0.66,0.62,1.16,7.46,7.46
33,08:00,08:15,1.69,1.3,0.43,1.31,1.92,0.9,0.74,1.39,9.7,9.7
34,08:15,08:30,1.83,1.38,0.45,1.31,1.89,0.89,0.86,1.61,10.27,10.27
35,08:30,08:45,2.08,1.47,0.53,1.51,2.15,1.06,0.97,1.83,11.64,11.64
36,08:45,09:00,2.28,1.47,0.56,1.64,2.31,1.1,1.09,2.03,12.52,12.52
37,09:00,09:15,2.48,1.47,0.61,1.78,2.5,1.19,1.19,2.23,13.47,13.47
38,09:15,09:30,2.67,1.47,0.65,1.94,2.64,1.27,1.29,2.42,14.38,14.38
39,09:30,09:45,3.04,1.47,0.72,2.13,2.82,1.41,1.39,2.6,15.6,15.6
40,09:45,10:00,1.18,0.67,0.3,1.13,2.95,0.72,1.47,2.76,11.22,11.22
41,10:00,10:15,3.2,1.47,0.77,2.3,2.95,1.47,1.55,2.91,16.65,16.65
42,10:15,10:30,2.59,1.24,0.28,2.4,2.95,0.53,1.62,3.04,14.69,14.69
43,10:30,10:45,3.3,1.47,0.78,1.69,2.95,1.47,1.69,3.16,16.53,16.53
44,10:45,11:00,3.3,1.47,0.92,2.4,1.23,1.47,1.74,3.26,15.81,15.81
45,11:00,11:15,1.9,1.23,0.55,2.13,1.82,1.13,1.79,3.34,13.92,13.92
46,11:15,11:30,1.2,0.61,0.27,0.92,1.0,0.53,1.8,3.41,9.78,9.78
47,11:30,11:45,1.22,0.62,0.29,1.04,1.21,0.58,1.8,3.46,10.25,10.25
48,11:45,12:00,3.3,1.09,0.9,2.4,1.58,1.47,1.8,3.5,16.06,16.06
49,12:00,12:15,2.28,1.09,0.41,2.4,2.41,0.8,1.8,3.51,14.71,14.71
50,12:15,12:30,1.86,0.8,0.36,1.57,1.39,0.73,1.8,3.51,12.06,12.06
51,12:30,12:45,1.27,0.64,0.28,0.95,1.07,0.55,1.8,3.49,10.08,10.08
52,12:45,13:00,1.06,0.56,0.24,0.79,0.95,0.49,1.8,3.45,9.37,9.37
53,13:00,13:15,2.83,1.47,0.62,1.17,2.95,1.19,1.8,3.39,15.45,15.45
54,13:15,13:30,1.91,1.47,0.88,1.97,1.21,1.47,1.77,3.32,14.04,14.04
55,13:30,13:45,1.71,1.0,0.48,1.16,1.49,0.88,1.72,3.23,11.71,11.71
56,13:45,14:00,1.65,0.97,0.47,1.12,1.44,0.85,1.67,3.12,11.32,11.32
57,14:00,14:15,0.99,0.58,0.28,0.67,0.86,0.51,1.0,1.87,6.8,6.8
58,14:15,14:30,0.99,0.58,0.28,0.67,0.86,0.51,1.0,1.87,6.8,6.8
59,14:30,14:45,0.99,0.58,0.28,0.67,0.86,0.51,1.0,1.87,6.8,6.8
60,14:45,15:00,0.99,0.58,0.28,0.67,0.86,0.51,1.0,1.87,6.8,6.8
61,15:00,15:15,0.78,0.46,0.22,0.53,0.68,0.4,0.79,1.48,5.38,5.38
62,15:15,15:30,0.78,0.46,0.22,0.53,0.68,0.4,0.79,1.48,5.38,5.38
63,15:30,15:45,0.78,0.46,0.22,0.53,0.68,0.4,0.79,1.48,5.38,5.38
64,15:45,16:00,0.78,0.46,0.22,0.53,0.68,0.4,0.79,1.48,5.38,5.38
65,16:00,16:15,0.52,0.3,0.14,0.35,0.45,0.27,0.52,0.99,3.58,3.58
66,16:15,16:30,0.52,0.3,0.14,0.35,0.45,0.27,0.52,0.99,3.58,3.58
67,16:30,16:45,0.52,0.3,0.14,0.35,0.45,0.27,0.52,0.99,3.58,3.58
68,16:45,17:00,0.52,0.3,0.14,0.35,0.45,0.27,0.52,0.99,3.58,3.58
69,17:00,17:15,0.23,0.13,0.06,0.16,0.2,0.12,0.24,0.44,1.62,1.62
70,17:15,17:30,0.23,0.13,0.06,0.16,0.2,0.12,0.24,0.44,1.62,1.62
71,17:30,17:45,0.14,0.08,0.04,0.09,0.12,0.07,0.14,0.27,0.99,0.99
72,17:45,18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,18:00,18:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,18:15,18:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,18:30,18:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,18:45,19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,19:00,19:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,19:15,19:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,19:30,19:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,19:45,20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,20:00,20:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,20:15,20:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,20:30,20:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,20:45,21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,21:00,21:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,21:15,21:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,21:30,21:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,21:45,22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,22:00,22:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,22:15,22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,22:30,22:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,22:45,23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,23:00,23:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,23:15,23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,23:30,23:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,23:45,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
