Block,Time,day_of_year,hour,is_daylight,minute_of_day,month,motion_coverage_end_pct,motion_coverage_start_pct,motion_coverage_trend,motion_direction_deg,motion_directional_consistency,motion_frame_count,motion_score,solar_elevation_deg,Predicted Generation (MW)
65,2026-08-21 16:00,233,16,1,960,8,0.0,0.0,0,-1,0.0,0,0.0,31.93,4.125
66,2026-08-21 16:15,233,16,1,975,8,0.0,0.0,0,-1,0.0,0,0.0,28.37,3.706
67,2026-08-21 16:30,233,16,1,990,8,0.0,0.0,0,-1,0.0,0,0.0,24.83,3.275
68,2026-08-21 16:45,233,16,1,1005,8,0.0,0.0,0,-1,0.0,0,0.0,21.28,2.831
69,2026-08-21 17:00,233,17,1,1020,8,0.0,0.0,0,-1,0.0,0,0.0,17.75,2.378
70,2026-08-21 17:15,233,17,1,1035,8,0.0,0.0,0,-1,0.0,0,0.0,14.22,1.916
71,2026-08-21 17:30,233,17,1,1050,8,0.0,0.0,0,-1,0.0,0,0.0,10.7,1.448
72,2026-08-21 17:45,233,17,1,1065,8,0.0,0.0,0,-1,0.0,0,0.0,7.19,0.976
73,2026-08-21 18:00,233,18,1,1080,8,0.0,0.0,0,-1,0.0,0,0.0,3.7,0.503
74,2026-08-21 18:15,233,18,1,1095,8,0.0,0.0,0,-1,0.0,0,0.0,0.21,0.029
75,2026-08-21 18:30,233,18,0,1110,8,0.0,0.0,0,-1,0.0,0,0.0,-3.25,0.0
76,2026-08-21 18:45,233,18,0,1125,8,0.0,0.0,0,-1,0.0,0,0.0,-6.7,0.0
