Block,Time Interval (15 minute interval),Physics Anchor Schedule (MW),Step 1 Meter Base Forecast MW,Step 2 Weather + Video Adjusted MW,Step 3 Context Adjusted MW,LLM Schedule (MW),Final Validated MW,LLM Reasoning
65,2026-08-21 16:00 - 16:15,4.125,4.125,4.125,4.125,4.125,4.125,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
66,2026-08-21 16:15 - 16:30,3.706,3.706,3.706,3.706,3.706,3.706,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
67,2026-08-21 16:30 - 16:45,3.275,3.275,3.275,3.275,3.275,3.275,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
68,2026-08-21 16:45 - 17:00,2.831,2.831,2.831,2.831,2.831,2.831,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
69,2026-08-21 17:00 - 17:15,2.378,2.378,2.378,2.378,2.378,2.378,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
70,2026-08-21 17:15 - 17:30,1.916,1.916,1.916,1.916,1.916,1.916,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
71,2026-08-21 17:30 - 17:45,1.448,1.448,1.448,1.448,1.448,1.448,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
72,2026-08-21 17:45 - 18:00,0.976,0.976,0.976,0.976,0.976,0.976,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
73,2026-08-21 18:00 - 18:15,0.503,0.503,0.503,0.503,0.503,0.503,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
74,2026-08-21 18:15 - 18:30,0.029,0.029,0.029,0.029,0.029,0.029,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
75,2026-08-21 18:30 - 18:45,0.0,0.0,0.0,0.0,0.0,0.0,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
76,2026-08-21 18:45 - 19:00,0.0,0.0,0.0,0.0,0.0,0.0,LLM adjustment unavailable for this block -- using fallback forecast unchanged.
