block,schedule_mw
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.885
29,1.565
30,2.32
31,1.12
32,1.25
33,1.55
34,1.95
35,2.45
36,3.0
37,3.1
38,3.75
39,3.9
40,4.05
41,4.1
42,4.05
43,4.55
44,4.65
45,4.75
46,4.85
47,4.95
48,5.05
49,4.55
50,4.25
51,4.1
52,4.0
53,3.95
54,3.9
55,3.75
56,3.75
57,3.75
58,3.55
59,3.25
60,2.95
61,3.873
62,3.178
63,2.542
64,2.034
65,1.68
66,1.346
67,1.45
68,1.15
69,0.88
70,0.64
71,0.42
72,0.22
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
