Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) LCR1:INV1,DC_Power (KW) LCR1:INV1,AC_Active Output Power (KW) LCR1:INV2,DC_Power (KW) LCR1:INV2,AC_Active Output Power (KW) MCR:INV5,DC_Power (KW) MCR:INV5,AC_Active Output Power (KW) LCR2:INV3,DC_Power (KW) LCR2:INV3,AC_Active Output Power (KW) LCR2:INV4,DC_Power (KW) LCR2:INV4,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
12-09-2026 00:15,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,25.29,26.11,0.35,0.17,0.0,0.0
12-09-2026 00:30,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,25.37,26.19,0.27,0.21,0.0,0.0
12-09-2026 00:45,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,25.1,26.31,0.21,0.15,0.0,0.0
12-09-2026 01:00,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,25.11,26.26,0.32,0.15,0.0,0.0
12-09-2026 01:15,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,24.48,26.09,0.28,0.16,0.0,0.0
12-09-2026 01:30,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,25.2,26.1,0.18,0.16,0.0,0.0
12-09-2026 01:45,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,25.12,26.17,0.23,0.16,0.0,0.0
12-09-2026 02:00,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,25.06,26.06,0.23,0.16,0.0,0.0
12-09-2026 02:15,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,25.18,26.24,0.21,0.18,0.0,0.0
12-09-2026 02:30,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,25.2,26.29,0.15,0.16,0.0,0.0
12-09-2026 02:45,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,24.94,26.27,0.19,0.16,0.0,0.0
12-09-2026 03:00,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,24.83,26.17,0.21,0.16,0.0,0.0
12-09-2026 03:15,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,24.8,26.05,0.29,0.16,0.0,0.0
12-09-2026 03:30,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,25.0,25.99,0.27,0.16,0.0,0.0
12-09-2026 03:45,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,25.0,25.95,0.16,0.15,0.0,0.0
12-09-2026 04:00,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,24.74,25.98,0.2,0.16,0.0,0.0
12-09-2026 04:15,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,24.68,26.06,0.15,0.18,0.0,0.0
12-09-2026 04:30,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,24.98,26.04,0.32,0.17,0.0,0.0
12-09-2026 04:45,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,24.76,25.88,0.19,0.16,0.0,0.0
12-09-2026 05:00,0.0,0.0,0.0,0.0,0.0,222.17,225.98,0.0,0.0,0.0,0.0,24.83,25.85,0.18,0.14,0.0,0.0
