Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) LCR1:INV1,DC_Power (KW) LCR1:INV1,AC_Active Output Power (KW) LCR1:INV2,DC_Power (KW) LCR1:INV2,AC_Active Output Power (KW) MCR:INV5,DC_Power (KW) MCR:INV5,AC_Active Output Power (KW) LCR2:INV3,DC_Power (KW) LCR2:INV3,AC_Active Output Power (KW) LCR2:INV4,DC_Power (KW) LCR2:INV4,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
17-08-2026 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.89,27.47,0.1,0.09,0.0,0.0
17-08-2026 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.74,27.39,0.13,0.1,0.0,0.0
17-08-2026 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.66,27.29,0.13,0.09,0.0,0.0
17-08-2026 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.56,27.27,0.13,0.1,0.0,0.0
17-08-2026 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.49,27.21,0.13,0.09,0.0,0.0
17-08-2026 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.51,27.12,0.15,0.1,0.0,0.0
17-08-2026 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.55,27.04,0.13,0.1,0.0,0.0
17-08-2026 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.76,27.0,0.39,0.1,0.0,0.0
17-08-2026 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.94,26.97,0.26,0.11,0.0,0.0
17-08-2026 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.89,26.83,0.13,0.1,0.0,0.0
17-08-2026 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.68,26.76,0.15,0.11,0.0,0.0
17-08-2026 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.62,26.74,0.13,0.1,0.0,0.0
17-08-2026 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.55,26.82,0.12,0.11,0.0,0.0
17-08-2026 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.18,26.89,0.15,0.12,0.0,0.0
17-08-2026 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.58,26.85,0.13,0.13,0.0,0.0
17-08-2026 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.98,26.83,0.15,0.13,0.0,0.0
17-08-2026 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.53,26.77,0.14,0.13,0.0,0.0
17-08-2026 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.06,26.67,0.11,0.11,0.0,0.0
17-08-2026 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,26.55,0.21,0.18,0.0,0.0
17-08-2026 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,26.48,0.23,0.17,0.0,0.0
17-08-2026 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.25,26.49,0.25,0.17,0.0,0.0
17-08-2026 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.29,26.44,0.24,0.2,0.0,0.0
17-08-2026 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,26.46,0.66,0.14,0.0,0.0
17-08-2026 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.25,0.26,24.7,26.48,1.24,0.65,0.0,0.0
17-08-2026 06:15,72.75,0.0,0.0,0.0,0.0,0.0,0.0,26.2,27.21,27.15,28.13,24.98,26.43,11.26,10.39,0.0,39.02
17-08-2026 06:30,400.8,85.16,86.68,86.29,87.84,0.0,0.0,84.97,86.49,88.16,89.7,25.33,26.57,32.25,31.14,0.0,75.19
17-08-2026 06:45,763.8,152.83,155.05,154.49,156.73,0.0,0.0,156.53,158.8,162.37,164.72,25.71,26.51,57.5,56.34,0.0,80.49
17-08-2026 07:00,1094.4,222.48,225.43,223.98,226.95,0.0,0.0,223.27,226.23,226.19,229.16,26.09,26.52,80.33,78.53,0.25,82.67
17-08-2026 07:15,1256.14,252.25,255.43,253.96,257.18,0.0,0.0,254.23,257.43,263.49,266.72,27.17,26.64,93.59,91.79,0.25,81.8
17-08-2026 07:30,1256.4,252.61,255.79,253.45,256.62,0.0,0.0,254.64,257.84,262.14,265.34,28.29,26.74,93.21,91.21,0.25,82.53
17-08-2026 07:45,1472.14,299.23,303.41,295.78,300.09,0.0,0.0,292.51,296.76,310.53,315.03,28.69,26.9,110.53,108.97,0.5,81.68
17-08-2026 08:00,1921.2,383.14,388.58,385.15,390.6,0.0,0.0,387.2,392.65,401.32,406.89,29.8,27.26,137.95,137.19,0.5,85.79
17-08-2026 08:15,2401.8,474.52,480.62,477.76,483.85,0.0,0.0,481.09,487.21,501.3,507.6,30.91,27.54,170.31,170.29,0.75,87.27
17-08-2026 08:30,3447.0,677.6,685.61,685.37,693.47,0.0,0.0,694.18,702.38,730.77,739.42,32.2,27.98,244.78,246.21,1.0,87.61
17-08-2026 08:45,4230.0,836.86,846.81,844.67,854.72,0.0,0.0,838.47,848.46,870.64,881.04,34.92,28.1,300.42,300.46,1.25,88.59
17-08-2026 09:00,4306.8,852.81,862.97,868.24,878.58,0.0,0.0,853.53,863.69,889.78,900.38,34.84,28.15,301.81,303.1,1.5,89.75
17-08-2026 09:15,5241.86,1050.58,1063.77,1059.93,1073.23,0.0,0.0,1028.72,1041.34,1047.38,1060.22,35.23,28.35,364.35,366.73,2.0,90.63
17-08-2026 09:30,5803.8,1130.65,1144.94,1166.14,1180.94,0.0,0.0,1131.52,1145.59,1212.75,1228.44,38.3,28.74,451.69,452.27,2.25,81.99
17-08-2026 09:45,4621.5,916.29,927.23,924.72,935.77,0.0,0.0,916.18,927.12,942.61,953.86,36.5,28.7,322.64,322.25,2.75,90.72
17-08-2026 10:00,5689.2,1135.8,1150.07,1155.86,1170.55,0.0,0.0,1136.74,1151.07,1165.86,1180.71,36.73,28.89,398.68,398.18,3.0,90.46
17-08-2026 10:15,7234.07,1510.83,1531.09,1515.76,1536.18,0.0,0.0,1475.94,1495.51,1460.74,1479.74,38.65,29.26,486.73,478.81,3.5,94.98
17-08-2026 10:30,8264.4,1752.68,1778.83,1813.6,1840.81,0.0,0.0,1666.59,1691.46,1678.93,1703.97,40.95,29.69,613.97,616.28,4.25,86.87
17-08-2026 10:45,8638.2,1832.54,1859.66,1840.63,1868.23,0.0,0.0,1801.23,1828.18,1823.35,1850.85,42.11,30.15,652.12,647.94,4.75,85.91
17-08-2026 11:00,8229.6,1633.81,1657.96,1702.47,1727.86,0.0,0.0,1701.02,1726.18,1837.96,1865.38,45.01,30.31,664.14,659.71,5.25,81.38
17-08-2026 11:15,9862.71,2047.67,2079.76,2118.86,2152.54,0.0,0.0,2103.94,2137.25,2171.04,2205.89,45.94,30.38,749.96,745.67,6.0,86.72
17-08-2026 11:30,9042.0,1817.27,1844.68,1860.29,1888.48,0.0,0.0,1914.02,1943.3,2102.46,2135.48,48.45,30.87,790.76,786.22,6.5,76.24
17-08-2026 11:45,7678.2,1555.47,1577.04,1598.21,1620.49,0.0,0.0,1560.04,1581.61,1607.8,1630.14,47.67,30.83,616.2,614.34,7.25,82.79
17-08-2026 12:00,9523.2,2164.12,2198.32,2151.22,2185.01,0.0,0.0,2010.78,2042.16,1894.96,1923.62,44.24,31.13,656.48,648.02,7.75,94.95
17-08-2026 12:15,10794.6,2342.2,2379.91,2408.38,2447.23,0.0,0.0,2406.48,2445.37,2184.58,2219.39,46.72,31.61,767.56,763.8,8.5,93.06
17-08-2026 12:30,10371.0,2123.38,2156.08,2174.94,2208.69,0.0,0.0,2245.48,2281.23,2305.67,2342.26,51.23,31.89,882.16,879.54,9.25,79.36
17-08-2026 12:45,8051.4,1638.8,1662.87,1605.1,1628.3,0.0,0.0,1642.66,1666.92,1839.51,1867.06,48.42,31.9,623.12,620.44,9.75,86.14
17-08-2026 13:00,6834.6,1408.86,1428.48,1402.34,1421.84,0.0,0.0,1406.01,1425.27,1503.86,1525.2,43.33,31.9,472.04,472.5,10.25,94.4
17-08-2026 13:15,7241.54,1456.01,1475.36,1451.27,1470.51,0.0,0.0,1451.0,1470.48,1516.84,1536.96,44.41,32.22,599.82,596.33,10.75,79.08
17-08-2026 13:30,4683.86,911.65,922.75,913.57,924.68,0.0,0.0,929.6,940.98,998.55,1010.86,41.62,31.81,353.88,353.55,11.25,85.66
17-08-2026 13:45,5234.14,1100.16,1114.19,1101.44,1115.44,0.0,0.0,1131.13,1146.0,1112.17,1126.8,37.65,31.61,328.95,328.0,11.5,101.26
17-08-2026 14:00,6273.64,1221.61,1237.2,1255.93,1271.95,0.0,0.0,1218.55,1234.02,1279.21,1295.42,40.74,31.96,468.5,460.88,12.0,86.34
17-08-2026 14:15,4597.2,934.04,945.36,990.39,1002.57,0.0,0.0,887.24,897.87,878.62,889.14,39.9,31.8,328.51,320.56,12.25,89.91
17-08-2026 14:30,4521.6,907.52,918.6,895.58,906.52,0.0,0.0,936.7,948.15,973.11,985.24,37.7,31.66,283.69,282.45,12.5,101.45
17-08-2026 14:45,5188.2,1063.32,1076.59,1046.69,1059.7,0.0,0.0,1054.2,1067.36,1064.71,1077.94,38.92,31.91,363.77,354.3,13.0,91.25
17-08-2026 15:00,6639.0,1331.35,1348.98,1353.58,1371.27,0.0,0.0,1367.57,1385.5,1358.85,1376.68,40.23,31.96,474.65,463.18,13.5,89.99
17-08-2026 15:15,8311.8,1776.89,1803.17,1762.2,1788.16,0.0,0.0,1745.91,1771.73,1698.42,1723.53,41.3,32.09,565.93,548.63,14.0,94.93
17-08-2026 15:30,7683.0,1449.17,1468.38,1508.62,1528.96,0.0,0.0,1572.62,1594.36,1775.03,1801.22,44.09,32.59,709.98,683.43,14.5,70.79
17-08-2026 15:45,6051.6,1257.78,1274.2,1254.69,1271.17,0.0,0.0,1208.23,1224.2,1219.18,1235.36,43.65,32.31,447.87,433.76,15.0,88.22
17-08-2026 16:00,6087.6,1194.45,1209.94,1232.27,1248.33,0.0,0.0,1214.77,1230.5,1282.59,1299.67,41.06,32.35,481.14,468.58,15.25,81.69
17-08-2026 16:15,5196.86,1021.71,1034.29,1048.76,1061.78,0.0,0.0,1022.33,1034.98,1076.34,1089.72,40.96,32.36,408.99,394.1,15.75,82.01
17-08-2026 16:30,2868.0,569.51,576.2,580.83,587.65,0.0,0.0,565.15,571.78,588.03,594.94,36.81,31.69,209.46,205.14,16.0,86.83
17-08-2026 16:45,2619.0,522.95,529.43,530.88,537.46,0.0,0.0,517.51,523.97,535.57,542.17,35.18,31.53,194.22,189.98,16.0,84.93
17-08-2026 17:00,2345.4,466.34,472.39,479.42,485.57,0.0,0.0,461.43,467.45,477.09,483.27,34.68,31.54,175.24,170.34,16.25,84.12
17-08-2026 17:15,1824.6,363.85,369.13,372.7,378.11,225.64,229.23,361.3,366.54,375.65,381.1,33.93,31.27,136.59,134.33,16.5,83.7
17-08-2026 17:30,1655.4,329.08,333.85,335.83,340.7,341.3,346.83,327.98,332.74,341.85,346.81,33.1,31.0,122.04,120.96,16.5,84.7
17-08-2026 17:45,1385.4,276.69,280.71,282.18,286.28,298.68,303.61,274.49,278.47,284.83,288.96,32.46,30.78,101.88,100.62,16.5,84.68
17-08-2026 18:00,937.8,189.28,192.71,192.91,196.33,208.62,212.25,186.23,189.64,193.47,196.87,31.53,30.7,70.12,68.92,16.75,82.97
17-08-2026 18:15,499.8,102.68,105.55,104.71,107.51,122.19,124.73,100.45,103.32,104.53,107.39,30.71,30.66,39.58,38.45,16.75,78.07
17-08-2026 18:30,153.0,34.76,36.1,35.09,36.45,46.36,47.75,33.69,34.99,35.06,36.42,29.68,30.61,14.61,14.36,16.75,64.48
17-08-2026 18:45,24.0,2.71,2.82,2.26,2.34,18.11,18.7,2.55,2.65,2.82,2.92,28.59,30.5,1.71,1.67,16.75,41.84
17-08-2026 19:00,0.0,0.0,0.0,0.0,0.0,0.44,0.47,0.0,0.0,0.0,0.0,27.7,30.12,0.1,0.08,16.75,0.0
17-08-2026 19:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.28,29.53,0.09,0.08,16.75,0.0
