Block,Time,clouds_avg_brightness,clouds_avg_hue_deg,clouds_avg_saturation,clouds_bright_pixel_pct,day_of_year,hour,is_daylight,minute_of_day,month,motion_coverage_end_pct,motion_coverage_start_pct,motion_coverage_trend,motion_direction_deg,motion_directional_consistency,motion_frame_count,motion_score,rain_avg_brightness,rain_avg_hue_deg,rain_avg_saturation,rain_bright_pixel_pct,satellite_avg_brightness,satellite_avg_hue_deg,satellite_avg_saturation,satellite_bright_pixel_pct,solar_elevation_deg,solarpower_avg_brightness,solarpower_avg_hue_deg,solarpower_avg_saturation,solarpower_bright_pixel_pct,wind_avg_brightness,wind_avg_hue_deg,wind_avg_saturation,wind_bright_pixel_pct,Predicted Generation (MW),Actual Generation (MW)
57,2026-07-25 14:00,155.33,174.36,42.32,53.64,206,14,1,840,7,98.19,98.24,0,-1,0.845,167,0.0078,110.49,202.48,151.1,3.45,217.35,78.42,5.69,97.48,61.82,178.88,26.15,134.28,95.61,122.34,162.12,112.8,3.2,1.734,0.8367366666666668
58,2026-07-25 14:15,121.68,165.02,45.26,4.37,206,14,1,855,7,98.19,98.31,0,0,0.965,209,0.0115,108.51,205.55,149.61,3.38,185.96,62.22,3.99,77.16,58.41,166.47,21.88,140.31,94.86,123.85,173.78,115.8,3.1,2.148,0.8622653333333333
59,2026-07-25 14:30,121.74,164.96,45.26,4.47,206,14,1,870,7,98.32,98.33,0,-1,0.407,9,0.0003,109.02,205.54,148.83,3.49,226.45,77.69,2.94,97.66,55.0,166.5,21.88,140.26,94.88,124.16,173.77,115.37,3.46,1.929,0.9445033333333335
60,2026-07-25 14:45,121.75,165.0,45.21,4.13,206,14,1,885,7,98.51,98.51,0,-1,0.074,92,0.0001,108.69,205.55,149.34,3.41,226.59,77.99,3.17,97.67,51.59,166.39,21.88,140.46,94.85,123.89,173.78,115.76,3.19,1.847,0.816654
61,2026-07-25 15:00,121.77,165.01,45.21,4.42,206,15,1,900,7,98.33,98.33,0,-1,0.906,92,0.0097,108.72,205.56,149.3,3.45,225.4,78.26,3.43,97.65,48.19,166.31,21.88,140.61,94.85,123.81,173.78,115.87,3.11,1.756,0.8797200000000001
62,2026-07-25 15:15,116.72,45.36,41.99,3.75,206,15,1,915,7,98.33,98.31,0,-1,0.974,100,0.0093,108.58,206.68,125.48,3.37,225.2,78.29,3.47,97.64,44.78,180.8,26.47,133.39,95.89,124.21,175.49,116.81,3.15,1.664,0.49909466666666663
63,2026-07-25 15:30,116.54,45.36,42.09,3.64,206,15,1,930,7,98.33,98.35,0,-1,0.958,67,0.0103,108.38,206.68,125.75,3.37,225.49,77.95,3.36,97.63,41.38,180.87,26.47,133.23,95.91,124.23,175.5,116.78,3.12,1.562,0.2882566666666666
64,2026-07-25 15:45,116.54,45.36,42.09,3.64,206,15,1,945,7,98.33,98.35,0,-1,0.958,67,0.0103,108.38,206.68,125.75,3.37,225.49,77.95,3.36,97.63,37.99,180.87,26.47,133.23,95.91,124.23,175.5,116.78,3.12,1.455,0.30662733333333325
65,2026-07-25 16:00,116.54,45.36,42.09,3.64,206,16,1,960,7,98.33,98.35,0,-1,0.958,67,0.0103,108.38,206.68,125.75,3.37,225.49,77.95,3.36,97.63,34.6,180.87,26.47,133.23,95.91,124.23,175.5,116.78,3.12,1.342,0.17283866666666664
66,2026-07-25 16:15,116.54,45.36,42.09,3.64,206,16,1,975,7,98.33,98.35,0,-1,0.958,67,0.0103,108.38,206.68,125.75,3.37,225.49,77.95,3.36,97.63,31.23,180.87,26.47,133.23,95.91,124.23,175.5,116.78,3.12,1.225,0.25683933333333336
67,2026-07-25 16:30,116.54,45.36,42.09,3.64,206,16,1,990,7,98.33,98.35,0,-1,0.958,67,0.0103,108.38,206.68,125.75,3.37,225.49,77.95,3.36,97.63,27.86,180.87,26.47,133.23,95.91,124.23,175.5,116.78,3.12,1.104,0.3198059999999999
68,2026-07-25 16:45,116.54,45.36,42.09,3.64,206,16,1,1005,7,98.33,98.35,0,-1,0.958,67,0.0103,108.38,206.68,125.75,3.37,225.49,77.95,3.36,97.63,24.51,180.87,26.47,133.23,95.91,124.23,175.5,116.78,3.12,0.98,0.4972873333333333
69,2026-07-25 17:00,116.54,45.36,42.09,3.64,206,17,1,1020,7,98.33,98.35,0,-1,0.958,67,0.0103,108.38,206.68,125.75,3.37,225.49,77.95,3.36,97.63,21.17,180.87,26.47,133.23,95.91,124.23,175.5,116.78,3.12,0.853,0.28374866666666665
70,2026-07-25 17:15,116.54,45.36,42.09,3.64,206,17,1,1035,7,98.33,98.35,0,-1,0.958,67,0.0103,108.38,206.68,125.75,3.37,225.49,77.95,3.36,97.63,17.86,180.87,26.47,133.23,95.91,124.23,175.5,116.78,3.12,0.725,0.18475
