Block,Time,clouds_avg_brightness,clouds_avg_hue_deg,clouds_avg_saturation,clouds_bright_pixel_pct,clouds_brightness_std,day_of_year,hour,is_daylight,minute_of_day,month,motion_coverage_end_pct,motion_coverage_start_pct,motion_coverage_trend,motion_direction_deg,motion_directional_consistency,motion_frame_count,motion_score,rain_avg_brightness,rain_avg_hue_deg,rain_avg_saturation,rain_bright_pixel_pct,rain_brightness_std,satellite_avg_brightness,satellite_avg_hue_deg,satellite_avg_saturation,satellite_bright_pixel_pct,satellite_brightness_std,solar_elevation_deg,solarpower_avg_brightness,solarpower_avg_hue_deg,solarpower_avg_saturation,solarpower_bright_pixel_pct,solarpower_brightness_std,wind_avg_brightness,wind_avg_hue_deg,wind_avg_saturation,wind_bright_pixel_pct,wind_brightness_std,Predicted Generation (MW)
55,2026-08-04 13:30,118.67,138.74,37.62,9.95,28.76,216,13,1,810,8,97.6,97.76,0,-1,0.788,72,0.004,105.05,206.6,149.72,2.53,21.83,216.06,79.45,7.56,96.94,25.94,67.73,204.84,34.02,111.36,95.22,29.23,123.31,179.14,119.8,2.02,19.1,2.157
56,2026-08-04 13:45,118.67,138.74,37.62,9.95,28.76,216,13,1,825,8,97.6,97.76,0,-1,0.788,72,0.004,105.05,206.6,149.72,2.53,21.83,216.06,79.45,7.56,96.94,25.94,64.41,204.84,34.02,111.36,95.22,29.23,123.31,179.14,119.8,2.02,19.1,2.102
57,2026-08-04 14:00,118.67,138.74,37.62,9.95,28.76,216,14,1,840,8,97.6,97.76,0,-1,0.788,72,0.004,105.05,206.6,149.72,2.53,21.83,216.06,79.45,7.56,96.94,25.94,61.06,204.84,34.02,111.36,95.22,29.23,123.31,179.14,119.8,2.02,19.1,2.04
58,2026-08-04 14:15,118.67,138.74,37.62,9.95,28.76,216,14,1,855,8,97.6,97.76,0,-1,0.788,72,0.004,105.05,206.6,149.72,2.53,21.83,216.06,79.45,7.56,96.94,25.94,57.68,204.84,34.02,111.36,95.22,29.23,123.31,179.14,119.8,2.02,19.1,1.97
59,2026-08-04 14:30,118.67,138.74,37.62,9.95,28.76,216,14,1,870,8,97.6,97.76,0,-1,0.788,72,0.004,105.05,206.6,149.72,2.53,21.83,216.06,79.45,7.56,96.94,25.94,54.28,204.84,34.02,111.36,95.22,29.23,123.31,179.14,119.8,2.02,19.1,1.892
60,2026-08-04 14:45,118.67,138.74,37.62,9.95,28.76,216,14,1,885,8,97.6,97.76,0,-1,0.788,72,0.004,105.05,206.6,149.72,2.53,21.83,216.06,79.45,7.56,96.94,25.94,50.88,204.84,34.02,111.36,95.22,29.23,123.31,179.14,119.8,2.02,19.1,1.808
61,2026-08-04 15:00,118.67,138.74,37.62,9.95,28.76,216,15,1,900,8,97.6,97.76,0,-1,0.788,72,0.004,105.05,206.6,149.72,2.53,21.83,216.06,79.45,7.56,96.94,25.94,47.47,204.84,34.02,111.36,95.22,29.23,123.31,179.14,119.8,2.02,19.1,1.718
62,2026-08-04 15:15,118.67,138.74,37.62,9.95,28.76,216,15,1,915,8,97.6,97.76,0,-1,0.788,72,0.004,105.05,206.6,149.72,2.53,21.83,216.06,79.45,7.56,96.94,25.94,44.06,204.84,34.02,111.36,95.22,29.23,123.31,179.14,119.8,2.02,19.1,1.621
63,2026-08-04 15:30,118.67,138.74,37.62,9.95,28.76,216,15,1,930,8,97.6,97.76,0,-1,0.788,72,0.004,105.05,206.6,149.72,2.53,21.83,216.06,79.45,7.56,96.94,25.94,40.65,204.84,34.02,111.36,95.22,29.23,123.31,179.14,119.8,2.02,19.1,1.518
64,2026-08-04 15:45,118.67,138.74,37.62,9.95,28.76,216,15,1,945,8,97.6,97.76,0,-1,0.788,72,0.004,105.05,206.6,149.72,2.53,21.83,216.06,79.45,7.56,96.94,25.94,37.24,204.84,34.02,111.36,95.22,29.23,123.31,179.14,119.8,2.02,19.1,1.411
